Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model,Car_Age,Mileage_per_Year,log_price,is_luxury,Luxury_EngineV_Interaction
BMW,21500.0,other,72,3.0,Petrol,yes,2007,Z4,18,4.0,9.975808214115753,1,3.0
Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008,Pajero Wagon,17,5.12,9.792555991828847,0,0.0
BMW,28500.0,crossover,160,4.8,Gas,yes,2008,X5,17,9.41,10.257659366256743,1,4.8
Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009,Caddy,16,10.0,9.190137664658664,0,0.0
Toyota,14500.0,sedan,147,2.4,Gas,yes,2006,Camry,19,7.74,9.581903928408666,0,0.0
BMW,6000.0,sedan,300,2.8,Petrol,yes,1996,528,29,10.34,8.699514748210191,1,2.8
BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5,9,0.11,11.119882876860622,1,2.5
Audi,33900.0,other,14,1.8,Petrol,yes,2014,TT,11,1.27,10.431170293368542,1,1.8
Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004,Vito,21,10.95,9.190137664658664,1,2.15
Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009,G 55 AMG,16,5.38,11.05089000537367,1,5.5
BMW,7700.0,sedan,326,2.8,Petrol,yes,1998,528,27,12.07,8.948975607841776,1,2.8
Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006,Vito,19,1.58,9.169518377455928,1,2.2
Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008,Camry,17,10.65,9.457200449907708,0,0.0
BMW,41000.0,crossover,80,3.0,Petrol,yes,2012,X6,13,6.15,10.621327345686446,1,3.0
BMW,3700.0,sedan,231,2.5,Petrol,yes,1990,525,35,6.6,8.216088098632316,1,2.5
Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,S 500,17,7.88,10.292145542327912,1,5.0
BMW,6500.0,sedan,335,2.8,Petrol,yes,1996,528,29,11.55,8.779557455883728,1,2.8
Renault,8250.0,van,66,1.5,Diesel,yes,2014,Kangoo,11,6.0,9.017968479328726,0,0.0
Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008,ML 350,17,10.12,9.878169744551839,1,3.5
Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001,S 500,24,13.21,9.51044496442652,1,5.0
Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008,Vito,17,15.65,9.126958763037132,1,2.2
Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006,Passat B6,19,13.95,8.517193191416238,0,0.0
BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,X5,18,9.0,10.081633737919603,1,4.8
BMW,36900.0,sedan,81,3.0,Diesel,yes,2010,730,15,5.4,10.515966830028619,1,3.0
BMW,8900.0,other,253,1.8,Petrol,yes,1995,318,30,8.43,9.093806555720231,1,1.8
Renault,7800.0,van,200,1.9,Diesel,yes,2002,Trafic,23,8.7,8.961879012677683,0,0.0
BMW,1650.0,sedan,270,1.8,Petrol,no,1995,318,30,9.0,7.408530566894626,1,1.8
Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,S 350,19,12.63,10.819778284410283,1,3.5
Renault,9700.0,van,245,2.0,Diesel,yes,2008,Trafic,17,14.41,9.179881164491475,0,0.0
Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,Vito,20,6.35,9.21024036697585,1,2.2
Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,A6 Allroad,10,2.1,11.156236235215168,1,3.0
Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,Lancer,18,8.44,8.779557455883728,0,0.0
Audi,4300.0,sedan,267,1.9,Diesel,no,2003,A6,22,12.14,8.366370301681654,1,1.9
Audi,3000.0,sedan,267,2.5,Diesel,no,1999,A6,26,10.27,8.006367567650246,1,2.5
Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,E-Class,25,9.6,9.071078304642676,1,2.2
Renault,9000.0,vagon,178,2.0,Petrol,yes,2008,Scenic,17,10.47,9.104979856318357,0,0.0
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,14,13.57,9.923290179832307,1,1.8
BMW,9000.0,sedan,175,3.0,Petrol,no,2006,330,19,9.21,9.104979856318357,1,3.0
Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006,E-Class,19,5.53,9.503009985939002,1,1.8
Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001,Passat B5,24,8.12,8.216088098632316,0,0.0
Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012,Caddy,13,9.69,9.195226734166134,0,0.0
Audi,3700.0,hatch,420,2.0,Diesel,no,2004,A3,21,20.0,8.216088098632316,1,2.0
Toyota,15700.0,crossover,195,4.0,Gas,yes,2003,Land Cruiser Prado,22,8.86,9.6614159913364,0,0.0
Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012,E-Class,13,13.85,10.106428396532818,1,2.2
Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007,Lancer,18,10.83,8.922658299524402,0,0.0
Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,Caravelle,23,10.04,9.39182824802156,0,0.0
Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,Polo,11,4.64,9.525771357380366,0,0.0
BMW,8200.0,sedan,287,2.5,Gas,yes,1999,525,26,11.04,9.011889433252344,1,2.5
Renault,6999.0,van,222,1.5,Diesel,yes,2009,Kangoo,16,13.88,8.85352256068954,0,0.0
Renault,6750.0,vagon,214,1.5,Diesel,yes,2004,Megane,21,10.19,8.817297783866575,0,0.0
Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,A8,19,12.89,9.825526011066415,1,3.0
Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009,Avensis,16,5.19,9.567944883732848,0,0.0
Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007,GL 320,18,11.67,10.257659366256743,1,3.2
Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008,Pajero Wagon,17,5.24,9.740968623038354,0,0.0
Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008,GL 450,17,7.65,10.154246270883311,1,4.7
Audi,2650.0,vagon,333,2.5,Diesel,no,2000,A6,25,13.32,7.882314918980268,1,2.5
Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008,Lancer X,17,6.82,9.047821442478408,0,0.0
Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992,200,33,12.27,8.294049640102028,1,2.0
Renault,11000.0,other,131,1.5,Diesel,yes,2011,Kangoo,14,9.36,9.305650551780507,0,0.0
Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007,E-Class,18,7.67,9.581903928408666,1,2.0
BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,520,37,1.35,8.318498320504338,1,2.5
Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,Tiguan,11,0.09,10.357742824813725,0,0.0
Renault,4500.0,van,207,1.5,Diesel,yes,2003,Kangoo,22,9.41,8.411832675758411,0,0.0
Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004,Caddy,21,9.86,8.809862805379057,0,0.0
Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011,Outlander XL,14,2.21,9.94270826568941,0,0.0
Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,GLS 350,9,0.0,11.58987724680423,1,2.98
BMW,3500.0,sedan,334,2.0,Diesel,no,1999,320,26,12.85,8.160518247477505,1,2.0
Audi,39000.0,sedan,18,1.8,Other,yes,2015,A5,10,1.8,10.571316925111784,1,1.8
Toyota,13500.0,crossover,150,4.7,Gas,yes,2002,Land Cruiser 100,23,6.52,9.51044496442652,0,0.0
Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007,Lancer,18,9.72,8.724207360800564,0,0.0
BMW,45500.0,crossover,76,4.4,Petrol,yes,2010,X6 M,15,5.07,10.725467604939041,1,4.4
BMW,4900.0,sedan,295,2.0,Petrol,yes,1994,520,31,9.52,8.496990484098719,1,2.0
BMW,47000.0,other,5,2.0,Petrol,yes,2014,Z4,11,0.45,10.757902880692196,1,2.0
Toyota,19200.0,crossover,190,2.7,Gas,yes,2005,Land Cruiser Prado,20,9.5,9.862665558015873,0,0.0
Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008,Outlander,17,7.0,9.314700387300425,0,0.0
Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012,Lancer X,13,10.69,9.011889433252344,0,0.0
Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007,Passat B6,18,13.06,9.239899174217728,0,0.0
Renault,11990.0,van,210,1.1,Diesel,yes,2010,Scenic,15,14.0,9.39182824802156,0,0.0
BMW,46800.0,sedan,33,2.0,Diesel,yes,2014,520,11,3.0,10.753638481905739,1,2.0
Volkswagen,1500.0,other,260,1.8,Gas,no,1994,Golf III,31,8.39,7.313220387090301,0,0.0
BMW,6350.0,crossover,156,4.4,Gas,no,2002,X5,23,6.78,8.756210091886738,1,4.4
Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005,A 150,20,7.75,9.093806555720231,1,1.5
Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007,Vito,18,8.89,9.449357272446683,1,3.0
Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007,Lancer,18,11.5,8.987196820661973,0,0.0
Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008,FJ Cruiser,17,3.71,10.292145542327912,0,0.0
Renault,7100.0,van,208,1.5,Diesel,yes,2008,Kangoo,17,12.24,8.867850063029406,0,0.0
Renault,10850.0,crossover,103,2.5,Gas,yes,2010,Koleos,15,6.87,9.291920358968605,0,0.0
Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013,Passat B7,12,4.75,10.203592144986466,0,0.0
Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011,Scirocco,14,4.57,9.803667217253917,0,0.0
BMW,27000.0,sedan,137,5.0,Other,yes,2005,M5,20,6.85,10.203592144986466,1,5.0
BMW,8990.0,other,300,2.2,Petrol,yes,2002,320,23,13.04,9.103868127465667,1,2.2
Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013,Venza,12,6.83,10.401227936753463,0,0.0
BMW,25500.0,other,163,4.8,Petrol,yes,2008,X5,17,9.59,10.146433731146518,1,4.8
Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003,Rav 4,22,6.95,9.093806555720231,0,0.0
Audi,11950.0,sedan,190,3.0,Petrol,yes,2006,A6,19,10.0,9.388486557359657,1,3.0
Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,E-Class,15,8.33,10.030120203469494,1,2.2
BMW,13000.0,sedan,165,2.2,Gas,yes,2003,520,22,7.5,9.472704636443673,1,2.2
Audi,25000.0,other,60,2.0,Petrol,yes,2011,A5,14,4.29,10.126631103850338,1,2.0
Toyota,26900.0,crossover,119,4.0,Gas,yes,2008,Land Cruiser Prado,17,7.0,10.19988156558993,0,0.0
Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016,V 250,9,0.0,11.382554786308235,1,2.2
Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008,Caddy,17,11.76,8.699514748210191,0,0.0
Audi,9800.0,vagon,257,2.5,Diesel,yes,2003,A6,22,11.68,9.190137664658664,1,2.5
Audi,13900.0,other,197,2.0,Diesel,yes,2006,A6,19,10.37,9.539644119118783,1,2.0
Renault,12200.0,van,164,2.5,Diesel,yes,2009,Trafic,16,10.25,9.409191230721348,0,0.0
Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005,ML 270,20,10.25,9.51044496442652,1,2.7
BMW,18100.0,crossover,200,4.8,Petrol,yes,2005,X5,20,10.0,9.803667217253917,1,4.8
BMW,33000.0,crossover,200,3.0,Diesel,yes,2010,X5,15,13.33,10.404262840448617,1,3.0
Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011,Tiguan,14,10.36,9.735068900911164,0,0.0
Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011,C-Class,14,7.86,9.998797732340453,1,1.8
Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007,Passat B6,18,10.83,9.277999020449997,0,0.0
Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000,E-Class,25,9.04,8.961879012677683,1,2.2
Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008,E-Class,17,10.82,9.75846178048587,1,1.8
BMW,70000.0,sedan,16,3.0,Diesel,yes,2014,730,11,1.45,11.156250521031495,1,3.0
Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001,Lupo,24,4.92,7.696212639346407,0,0.0
BMW,8900.0,sedan,256,2.2,Petrol,yes,2002,5 Series,23,11.13,9.093806555720231,1,2.2
Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013,CLA 200,12,2.75,10.360912399575003,1,1.6
Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006,T5 (Transporter),19,8.84,8.974618038455112,0,0.0
Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012,Highlander,13,7.46,10.257659366256743,0,0.0
Renault,6900.0,van,140,1.5,Diesel,yes,2012,Kangoo,13,10.77,8.83927669058535,0,0.0
BMW,8850.0,vagon,280,2.5,Diesel,yes,2000,525,25,11.2,9.088172738001974,1,2.5
Renault,3100.0,van,164,1.4,Petrol,yes,1999,Kangoo,26,6.31,8.039157390473237,0,0.0
BMW,8900.0,sedan,250,2.5,Petrol,yes,2000,525,25,10.0,9.093806555720231,1,2.5
Renault,6100.0,sedan,130,1.4,Petrol,yes,2005,Megane,20,6.5,8.716044050161402,0,0.0
BMW,1400.0,sedan,260,1.8,Petrol,no,1996,318,29,8.97,7.24422751560335,1,1.8
Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012,Caddy,13,7.15,9.082507000466299,0,0.0
Renault,10299.0,other,176,2.0,Diesel,yes,2013,Trafic,12,14.67,9.239802082125802,0,0.0
Renault,6500.0,sedan,170,1.6,Petrol,yes,2004,Megane,21,8.1,8.779557455883728,0,0.0
Toyota,9100.0,sedan,151,1.6,Gas,yes,2007,Corolla,18,8.39,9.116029692504942,0,0.0
Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010,Polo,15,6.33,9.205327830152639,0,0.0
Toyota,24500.0,crossover,260,4.7,Gas,yes,2003,Land Cruiser 100,22,11.82,10.106428396532818,0,0.0
Audi,51500.0,crossover,27,3.0,Diesel,yes,2013,Q7,12,2.25,10.849337086651827,1,3.0
Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008,T5 (Transporter),17,17.06,9.464982590349763,0,0.0
Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006,Vito,19,13.16,8.987196820661973,1,2.2
Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007,Galant,18,6.22,8.99961934066053,0,0.0
Renault,10100.0,van,164,2.0,Diesel,yes,2012,Trafic,13,12.62,9.22029070282935,0,0.0
BMW,1900.0,sedan,300,2.5,Diesel,no,1997,5 Series,28,10.71,7.549609165154532,1,2.5
Renault,10800.0,van,187,2.0,Diesel,yes,2012,Trafic,13,14.38,9.287301413112312,0,0.0
Audi,8000.0,sedan,234,4.2,Gas,no,2004,A8,21,11.14,8.987196820661973,1,4.2
Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004,CLK 240,21,5.71,9.635608107380527,1,2.6
Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998,Golf IV,27,6.74,7.762170607138205,0,0.0
BMW,38888.0,vagon,5,0.65,Other,yes,2015,I3,10,0.5,10.568440998725292,1,0.65
Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016,Land Cruiser 200,9,0.0,11.512915464920228,0,0.0
Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012,Passat B7,13,8.46,9.778491062361443,0,0.0
Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005,Multivan,20,11.85,9.47262771040802,0,0.0
Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008,C-Class,17,5.29,9.825526011066415,1,1.8
Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006,Passat B6,19,10.26,9.126958763037132,0,0.0
Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016,Polo,9,0.11,9.581903928408666,0,0.0
Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011,Passat B7,14,1.29,9.798127036878302,0,0.0
Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003,Vaneo,22,11.36,8.824677891164198,1,1.7
BMW,20500.0,crossover,73,2.0,Petrol,yes,2011,X1,14,5.21,9.9281801651265,1,2.0
BMW,28000.0,other,100,5.0,Petrol,yes,2005,M5,20,5.0,10.239959789157341,1,5.0
Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011,T5 (Transporter) ,14,9.29,9.273315171137572,0,0.0
Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013,Scirocco,12,2.5,9.918376165029878,0,0.0
Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999,Passat B5,26,10.27,8.006367567650246,0,0.0
Toyota,25250.0,crossover,112,4.5,Gas,yes,2007,Land Cruiser 100,18,6.22,10.136581434703507,0,0.0
Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996,Colt,29,8.45,7.236339342754344,0,0.0
Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005,S 400,20,8.7,9.775654181026242,1,4.0
Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,Vito,18,10.0,9.560997243589352,1,2.2
BMW,13700.0,crossover,270,4.6,Gas,yes,2004,X5,21,12.86,9.525151111816216,1,4.6
Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007,S 550,18,10.39,10.081633737919603,1,5.5
Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013,Passat CC,12,12.0,10.373491181781864,0,0.0
BMW,4599.0,sedan,267,2.0,Gas,yes,1991,520,34,7.85,8.433594167539924,1,2.0
Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998,Passat B5,27,11.11,7.762170607138205,0,0.0
Audi,19999.0,vagon,160,2.0,Petrol,yes,2010,A4 Allroad,15,10.67,9.903437551286085,1,2.0
BMW,28900.0,sedan,78,2.0,Petrol,yes,2012,528,13,6.0,10.271596874100524,1,2.0
Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996,Passat B4,29,10.34,8.242756345714477,0,0.0
Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989,Golf II,36,8.33,7.495541943884256,0,0.0
Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007,Passat B6,18,11.17,9.179881164491475,0,0.0
Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016,L 200,9,0.11,10.140226269364646,0,0.0
Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016,Jetta,9,0.11,10.1226230824528,0,0.0
Renault,4999.0,sedan,140,1.4,Petrol,yes,2011,Logan,14,10.0,8.51699317141357,0,0.0
BMW,4700.0,sedan,390,2.5,Petrol,yes,1991,525,34,11.47,8.45531778769815,1,2.5
Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997,E-Class,28,0.04,8.51699317141357,1,2.8
Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000,E-Class,25,14.0,9.137662146478197,1,2.7
Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007,S 550,18,7.22,10.126631103850338,1,5.5
Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,Pajero Sport,17,8.71,9.464982590349763,0,0.0
Audi,9700.0,vagon,189,2.5,Diesel,yes,2003,A6,22,8.59,9.179881164491475,1,2.5
Renault,10100.0,van,64,2.0,Diesel,yes,2014,Trafic,11,5.82,9.22029070282935,0,0.0
BMW,2800.0,sedan,296,3.0,Diesel,no,2001,730,24,12.33,7.937374696163295,1,3.0
Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000,Sprinter 312,25,14.0,9.51044496442652,1,2.9
Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009,Lancer X Sportback,16,7.81,9.093806555720231,0,0.0
Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016,GLS 350,9,0.0,11.60822655382414,1,3.0
Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004,E-Class,21,8.57,9.350102314351341,1,3.2
BMW,36900.0,crossover,82,3.0,Petrol,yes,2010,X6,15,5.47,10.515966830028619,1,3.0
Toyota,33200.0,crossover,150,4.0,Gas,yes,2010,Land Cruiser Prado,15,10.0,10.410305154904579,0,0.0
Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008,T5 (Transporter),17,14.88,9.230142999272362,0,0.0
Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016,Jetta,9,0.0,9.74090979777877,0,0.0
Toyota,10800.0,sedan,179,3.0,Gas,yes,2005,Camry,20,8.95,9.287301413112312,0,0.0
Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011,E-Class,14,7.07,10.477287975463508,1,2.99
Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007,Golf Plus,18,8.67,9.20029003612268,0,0.0
Renault,7900.0,vagon,91,1.5,Diesel,yes,2008,Scenic,17,5.35,8.974618038455112,0,0.0
Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007,E-Class,18,12.0,9.539644119118783,1,2.2
Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011,Passat CC,14,7.29,9.903487552536127,0,0.0
Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015,Rav 4,10,3.8,10.257659366256743,0,0.0
Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007,Lancer,18,9.89,8.881836305004146,0,0.0
Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006,Outlander,19,10.53,9.104979856318357,0,0.0
Audi,36500.0,crossover,115,3.0,Diesel,yes,2010,Q7,15,7.67,10.505067539570582,1,3.0
Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012,Up,13,3.15,8.987196820661973,0,0.0
Audi,43000.0,other,11,1.8,Petrol,yes,2015,A6,10,1.1,10.668955394675699,1,1.8
Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013,Corolla,12,4.0,9.525151111816216,0,0.0
Toyota,7899.0,sedan,165,1.8,Gas,yes,2006,Avensis,19,8.68,8.97449144816442,0,0.0
Renault,13999.0,van,180,2.0,Diesel,yes,2012,Trafic,13,13.85,9.546741177474825,0,0.0
Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012,Caddy,13,13.54,9.259130536145614,0,0.0
Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012,Amarok,13,12.31,9.94270826568941,0,0.0
Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003,G 320,22,8.0,10.373491181781864,1,3.2
Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004,S 500,21,10.48,9.581903928408666,1,5.0
Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014,Auris,11,1.82,9.735068900911164,0,0.0
Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013,Vito,12,14.33,9.517825071724143,1,2.2
Audi,2600.0,vagon,273,2.5,Diesel,no,1999,A6,26,10.5,7.8632667240095735,1,2.5
BMW,12000.0,sedan,237,3.0,Diesel,yes,2003,530,22,10.77,9.392661928770137,1,3.0
Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013,Passat B7,12,8.83,9.84161214881804,0,0.0
Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012,Land Cruiser Prado,13,6.54,10.477287975463508,0,0.0
Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007,CL 500,18,3.94,10.305613759378778,1,5.5
Renault,6750.0,other,110,1.5,Diesel,yes,2012,Kangoo,13,8.46,8.817297783866575,0,0.0
BMW,34900.0,crossover,117,3.0,Petrol,yes,2011,X5,14,8.36,10.460242108190519,1,3.0
Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008,T5 (Transporter) ,17,10.41,8.948975607841776,0,0.0
Renault,9250.0,vagon,220,1.5,Diesel,yes,2010,Megane,15,14.67,9.132378830506472,0,0.0
Renault,8400.0,hatch,84,1.5,Diesel,yes,2011,Kangoo,14,6.0,9.035986984831405,0,0.0
Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013,Corolla,12,7.75,9.371608519572305,0,0.0
